Plate #,Row,Column,Record no.,ORF,Gene
4,B,5,998,YHR035W,YHR035W
4,B,6,2893,YHR199C,AIM46
4,B,7,1000,YHR037W,PUT2
4,B,8,2894,YHR200W,RPN10
4,B,9,1001,YHR038W,RRF1
4,B,10,2896,YHR202W,YHR202W
4,B,11,1002,YHR039C,MSC7
4,B,12,2897,YHR203C,RPS4b
4,B,13,1006,YHR043C,DOG2
4,B,14,2898,YHR204W,MNL1
4,B,15,1007,YHR044C,DOG1
4,B,16,2900,YHR206W,SKN7
4,B,17,1873,YHR046C,INM1
4,B,18,2901,YHR207C,SET5
4,B,19,1874,YHR047C,AAP1
4,B,20,2903,YHR209W,CRG1
4,B,21,1875,YHR048W,YHK8
4,B,22,2904,YHR210C,YHR210C
4,B,23,1876,YHR049W,FSH1
4,B,24,3409,YCL001W,RER1
4,C,2,4799,YGR169C,PUS6
4,C,3,7399,YPR011C,YPR011C
4,C,4,-,,
4,C,5,148,YER017C,AFG3
4,C,6,4800,YGR170W,PSD2
4,C,7,150,YER019W,ISC1
4,C,8,4801,YGR171C,MSM1
4,C,9,151,YER019C-A,SBH2
4,C,10,4803,YGR173W,RBG2
4,C,11,152,YER020W,GPA2
4,C,12,4804,YGR174C,CBP4
4,C,13,156,YER024W,YAT2
4,C,14,4806,YGR176W,YGR176W
4,C,15,162,YER030W,CHZ1
4,C,16,4807,YGR177C,ATF2
4,C,17,164,YER032W,FIR1
4,C,18,4808,YGR178C,PBP1
4,C,19,165,YER033C,ZRG8
4,C,20,4810,YGR180C,RNR4
4,C,21,166,YER034W,YER034W
4,C,22,4811,YGR181W,TIM13
4,C,23,167,YER035W,EDC2
4,C,24,4812,YGR182C,YGR182C
4,D,1,1877,YHR049C-A,YHR049C-A
4,D,2,3410,YCL002C,YCL002C
4,D,3,1878,YHR050W,SMF2
4,D,4,3413,YCL005W,LDB16
4,D,5,-,,
4,D,6,7121,YMR118C,SHH3
4,D,7,1879,YHR051W,COX6
4,D,8,-,,
4,D,9,1885,YHR057C,CPR2
4,D,10,3416,YCL008C,STP22
4,D,11,1888,YHR060W,VMA22
4,D,12,3417,YCL009C,ILV6
4,D,13,1889,YHR061C,GIC1
4,D,14,3418,YCL010C,SGF29
4,D,15,1894,YHR066W,SSF1
4,D,16,3419,YCL011C,GBP2
4,D,17,1901,YHR073W,OSH3
4,D,18,3420,YCL012W,YCL012W
4,D,19,1903,YHR075C,PPE1
4,D,20,3421,YCL013W,YCL013W
4,D,21,1904,YHR076W,PTC7
4,D,22,3422,YCL014W,BUD3
4,D,23,1905,YHR077C,NMD2
4,D,24,3423,YCL016C,DCC1
4,E,1,171,YER038W-A,YER038W-A
4,E,2,4813,YGR183C,QCR9
4,E,3,172,YER039C,HVG1
4,E,4,4814,YGR184C,UBR1
4,E,5,173,YER040W,GLN3
4,E,6,4817,YGR187C,HGH1
4,E,7,174,YER041W,YEN1
4,E,8,4819,YGR189C,CRH1
4,E,9,175,YER042W,MXR1
4,E,10,4822,YGR192C,TDH3
4,E,11,178,YER044C-A,MEI4
4,E,12,4823,YGR193C,PDX1
4,E,13,179,YER045C,ACA1
